Title,Address,41.6763577,-71.5372181,"3 Sweet Fern Ln, Coventry, RI 02816, USA",Match,Google
De Bijenkorf,"St Jacobsstraat 1A, 3511 BR Utrecht",52.093635,5.115392,"St Jacobsstraat 1A, 3511 BR Utrecht, Netherlands",Match,Google
UMCU,"Heidelberglaan 100, 3584 CX Utrecht",52.0864996,5.1798816,"Heidelberglaan 100, 3584 CX Utrecht, Netherlands",Match,Google
Bibliotheek Utrecht,"Oudegracht 167, 3511 Utrecht",52.0914128,5.1193692,"Oudegracht 167, 3511 AL Utrecht, Netherlands",Match,Google
Charter Oak State College,"55 Manafort Drive, New Britain CT 06053",41.6882257,-72.7679837,"55 Paul Manafort Dr, New Britain, CT 06053, USA",Partial Match,Google
